capability_id	fixture_ids	acceptance_criteria	target_owner	delivery_phase
LOCAL-OSE-FSHARP-SHARED-CONVENTION-EMOJI-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-CONVENTION-EMOJI-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-CONVENTION-EMOJI-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-CONVENTION-LICENSE-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-CONVENTION-LICENSE-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-CONVENTION-LICENSE-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-DOCTOR	FX-LOCAL-OSE-FSHARP-SHARED-DOCTOR-POS;FX-LOCAL-OSE-FSHARP-SHARED-DOCTOR-NEG	AC-15	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-ENV-BACKUP	FX-LOCAL-OSE-FSHARP-SHARED-ENV-BACKUP-POS;FX-LOCAL-OSE-FSHARP-SHARED-ENV-BACKUP-NEG	AC-12;AC-13;AC-14	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-ENV-INIT	FX-LOCAL-OSE-FSHARP-SHARED-ENV-INIT-POS;FX-LOCAL-OSE-FSHARP-SHARED-ENV-INIT-NEG	AC-12;AC-13;AC-14	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-ENV-RESTORE	FX-LOCAL-OSE-FSHARP-SHARED-ENV-RESTORE-POS;FX-LOCAL-OSE-FSHARP-SHARED-ENV-RESTORE-NEG	AC-12;AC-13;AC-14	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-ENV-STAGED-GUARD-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-ENV-STAGED-GUARD-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-ENV-STAGED-GUARD-VALIDATE-NEG	AC-12;AC-13;AC-14	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-ENV-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-ENV-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-ENV-VALIDATE-NEG	AC-12;AC-13;AC-14	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-GATE-LIST	FX-LOCAL-OSE-FSHARP-SHARED-GATE-LIST-POS;FX-LOCAL-OSE-FSHARP-SHARED-GATE-LIST-NEG	AC-04;AC-08A;AC-08B;AC-08C;AC-08D;AC-08E;AC-08F	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-GATE-RUN	FX-LOCAL-OSE-FSHARP-SHARED-GATE-RUN-POS;FX-LOCAL-OSE-FSHARP-SHARED-GATE-RUN-NEG	AC-04;AC-08A;AC-08B;AC-08C;AC-08D;AC-08E;AC-08F	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-GATE-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-GATE-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-GATE-VALIDATE-NEG	AC-04;AC-08A;AC-08B;AC-08C;AC-08D;AC-08E;AC-08F	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-GIT-LOCKFILE-SYNC	LOC-LOCAL-OSE-FSHARP-SHARED-GIT-LOCKFILE-SYNC-OWNER;LOC-LOCAL-OSE-FSHARP-SHARED-GIT-LOCKFILE-SYNC-CALLER;LOC-LOCAL-OSE-FSHARP-SHARED-GIT-LOCKFILE-SYNC-TEST;LOC-LOCAL-OSE-FSHARP-SHARED-GIT-LOCKFILE-SYNC-RHINO-EXCLUSION	AC-02	ose-private+ose-public:pre-commit-lockfile-sync	1
LOCAL-OSE-FSHARP-SHARED-GOVERNANCE-README-INDEX-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-GOVERNANCE-README-INDEX-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-GOVERNANCE-README-INDEX-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-GOVERNANCE-WORD-BUDGET-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-GOVERNANCE-WORD-BUDGET-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-GOVERNANCE-WORD-BUDGET-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-HARNESS-BINDINGS-GENERATE	FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-BINDINGS-GENERATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-BINDINGS-GENERATE-NEG	AC-09;AC-10;AC-11	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-HARNESS-BINDINGS-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-BINDINGS-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-BINDINGS-VALIDATE-NEG	AC-09;AC-10;AC-11	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-HARNESS-CATALOG-GENERATE	FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-CATALOG-GENERATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-CATALOG-GENERATE-NEG	AC-09;AC-10;AC-11	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-HARNESS-CATALOG-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-CATALOG-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-CATALOG-VALIDATE-NEG	AC-09;AC-10;AC-11	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-HARNESS-CLAUDE-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-CLAUDE-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-CLAUDE-VALIDATE-NEG	AC-09;AC-10;AC-11	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-HARNESS-DUPLICATION-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-DUPLICATION-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-DUPLICATION-VALIDATE-NEG	AC-09;AC-10;AC-11	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-HARNESS-OWNERSHIP-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-OWNERSHIP-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-OWNERSHIP-VALIDATE-NEG	AC-09;AC-10;AC-11	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-HARNESS-SYNC-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-SYNC-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-HARNESS-SYNC-VALIDATE-NEG	AC-09;AC-10;AC-11	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-MD-FRONTMATTER-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-MD-FRONTMATTER-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-MD-FRONTMATTER-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-MD-FRONTMATTER-DATES-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-MD-FRONTMATTER-DATES-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-MD-FRONTMATTER-DATES-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-MD-HEADING-HIERARCHY-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-MD-HEADING-HIERARCHY-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-MD-HEADING-HIERARCHY-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-MD-LINKS-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-MD-LINKS-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-MD-LINKS-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-MD-MERMAID-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-MD-MERMAID-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-MD-MERMAID-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-MD-NAMING-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-MD-NAMING-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-MD-NAMING-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-PLAN-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-PLAN-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-PLAN-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-REPO-CONFIG-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-REPO-CONFIG-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-REPO-CONFIG-VALIDATE-NEG	AC-05;AC-06;AC-07;AC-08	rhino-v0.4	2
LOCAL-OSE-FSHARP-SHARED-REPO-GOVERNANCE-LAYER-COHERENCE-VALIDATE	FX-LOCAL-OSE-FSHARP-SHARED-REPO-GOVERNANCE-LAYER-COHERENCE-VALIDATE-POS;FX-LOCAL-OSE-FSHARP-SHARED-REPO-GOVERNANCE-LAYER-COHERENCE-VALIDATE-NEG	AC-03;AC-16	rhino-v0.4	2
